Registry,Assignment,Organization Name,Organization Address
MA-L,9424E1,Alcatel-Lucent Enterprise,26801 West Agoura Rd Calabasas CA US 91301 
MA-L,A09D86,"Alcatel-Lucent Shanghai Bell Co., Ltd","No. 389, Ningqiao Road, Pudong Jinqiao Shanghai  CN 201206 "
MA-L,C8F86D,"Alcatel-Lucent Shanghai Bell Co., Ltd","No. 389, Ningqiao Road, Pudong Jinqiao Shanghai  CN 201206 "
MA-L,00118B,Alcatel-Lucent Enterprise,26801 West Agoura Road Calabasas CA US 91301 
MA-L,00E0B1,Alcatel-Lucent Enterprise,26801 West Agoura Road Calabasas CA US 91301 
MA-L,00E0DA,Alcatel-Lucent Enterprise,26801 West Agoura Road CALABASAS CA US 91301 
MA-L,DC0856,Alcatel-Lucent Enterprise,26801 West Agoura Rd Calabasas CA US 91301 
MA-L,54E3F6,Alcatel-Lucent,777 East Middlefield Road Mountain View CA US 94043 
MA-L,1880F5,"Alcatel-Lucent Shanghai Bell Co., Ltd","No. 389, Ningqiao Road, Pudong Jinqiao Shanghai  CN 201206 "
MA-L,000F62,Alcatel Bell Space N.V.,Berkenrodelei 33 Hoboken Antwerpen BE B-2660 
MA-L,184A6F,"Alcatel-Lucent Shanghai Bell Co., Ltd","No. 389, Ningqiao Road, Pudong Jinqiao Shanghai  CN 201206 "
MA-L,84A783,Alcatel Lucent,"Via Energy Park, 14 Vimercate MB IT 20871 "
MA-L,F83094,Alcatel-Lucent Telecom Limited,"The Quadrant, Stonehill Green  SWINDON  GB SN5 7DJ "
MA-L,68597F,Alcatel Lucent,"Via Energy Park, 14 Vimercate MB IT 20871 "
MA-L,0025BA,Alcatel-Lucent IPD,701 E. Middlefield Rd. Mountain View CA US 94043 
MA-L,00153F,Alcatel Alenia Space Italia,Strada Padana Superiore 290 Vimodrone MI IT 20090 
MA-L,002032,ALCATEL TAISEL,"4, MING SHENG STREET TU-CHENG  TAIWAN TW ROC "
MA-L,00C0BE,ALCATEL - SEL,LORENZ STR   DE  
MA-L,2CFAA2,Alcatel-Lucent Enterprise,26801 West Agoura Rd Calabasas CA US 91301 
MA-L,E8E732,Alcatel-Lucent Enterprise,26801 West Agoura Road Calabasas CA US 91301 
MA-L,A8AD3D,"Alcatel-Lucent Shanghai Bell Co., Ltd","No. 389, Ningqiao Road, Pudong Jinqiao Shanghai  CN 201206 "
MA-L,24AF4A,Alcatel-Lucent IPD,701 E. Middlefield Rd. Mountain View CA US 94043 
MA-L,7C2064,Alcatel-Lucent IPD,600 March Drive Kanata Ontario CA K2K2E6 
MA-L,D099D5,Alcatel-Lucent,777 East Middlefield Road Mountain View CA US 94043 
MA-L,9067F3,Alcatel Lucent,"Via Energy Park, 14 Vimercate MB IT 20871 "
MA-L,18422F,Alcatel Lucent,"Via Energy Park, 14 Vimercate MB IT 20871 "
MA-L,0017CC,Alcatel-Lucent,601 Data Dr. Plano TX US 75075 
MA-L,008039,ALCATEL STC AUSTRALIA,252-280 BOTANY ROAD   AU  
MA-L,3C28A6,Alcatel-Lucent Enterprise (China),"2/F, Building 1, No.60 Naxian Road,Pudong Shanghai Shanghai CN 201210 "
MA-L,0CB5DE,Alcatel Lucent,"Via Energy Park, 14 Vimercate MB IT 20871 "
MA-L,002060,ALCATEL ITALIA S.p.A.,"VIA TRENTO, 30 20059 VIMERCATE (MI)  IT  "
MA-L,54A619,"Alcatel-Lucent Shanghai Bell Co., Ltd","No. 389, Ningqiao Road, Pudong Jinqiao Shanghai  CN 201206 "
MA-L,002105,Alcatel-Lucent IPD,701 E. Middlefield Rd. Mountain View CA US 94043 
MA-L,D4224E,Alcatel Lucent,"Via Energy Park, 14 Vimercate MB IT 20871 "
MA-L,94AE61,Alcatel Lucent,"Via Energy Park, 14 Vimercate MB IT 20871 "
MA-L,4C5FD2,Alcatel-Lucent,777 East Middlefield Road Mountain View CA US 94043 
